match_id,team_won,cluster,game_mode,game_type,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10
5283289756.0,1,187,23,0,12,87,88,20,74,7,35,26,84,1
5283289755.0,1,155,22,7,8,62,88,26,104,93,30,14,121,11
5283289754.0,-1,231,22,0,32,57,106,22,54,31,98,94,20,8
5283289753.0,-1,152,22,0,14,13,75,86,93,11,87,37,108,18
5283289752.0,-1,136,22,7,11,108,84,89,87,126,27,25,93,104
5283289751.0,1,236,23,0,93,15,64,94,18,11,70,88,14,8
5283289750.0,1,223,3,0,39,8,112,28,62,126,5,1,2,69
5283289749.0,-1,156,22,7,84,14,21,49,41,71,102,72,26,73
5283289748.0,1,223,22,7,114,128,75,93,11,86,101,97,8,39
5283289726.0,-1,151,22,7,21,19,41,88,5,37,23,13,6,63
5283289724.0,-1,136,22,7,129,13,32,84,100,93,34,86,110,64
5283289723.0,-1,185,22,7,108,64,74,128,1,47,31,15,50,93
5283289722.0,-1,182,22,0,104,44,11,84,14,114,112,7,55,94
5283289721.0,-1,227,22,7,94,99,21,5,93,7,89,26,84,12
5283289720.0,-1,236,18,0,106,73,66,42,22,32,91,57,87,94
5283289718.0,-1,236,3,0,111,21,16,27,1,95,128,98,62,126
5283289717.0,1,223,22,7,101,15,64,14,11,84,95,23,25,114
5283289716.0,1,154,22,7,119,15,1,30,59,21,44,86,36,14
5283289715.0,1,186,23,0,17,22,109,8,5,104,14,84,44,75
5283289714.0,-1,236,3,7,7,26,110,84,67,95,120,42,13,39
5283289713.0,-1,138,22,7,113,20,88,104,41,71,8,126,120,37
5283289712.0,1,227,3,7,44,5,13,39,75,54,36,28,30,31
5283289685.0,1,188,22,7,20,104,106,30,1,41,11,2,75,27
5283289684.0,1,134,22,7,76,93,114,111,25,34,26,98,128,48
5283289683.0,-1,181,22,7,36,84,98,87,41,74,42,57,27,14
5283289682.0,1,144,22,7,93,128,64,61,96,108,8,121,26,80
5283289681.0,1,184,4,0,70,17,60,81,114,113,63,74,56,42
5283289680.0,1,231,3,7,12,94,60,128,25,9,28,121,106,18
5283289679.0,-1,188,4,0,111,109,86,25,73,114,6,119,31,12
5283289677.0,1,183,22,7,107,42,44,29,106,37,59,26,93,126
5283289676.0,1,236,3,7,67,99,26,120,65,8,129,31,11,7
5283289675.0,-1,188,22,7,35,74,41,91,99,14,26,6,42,95
5283289674.0,1,185,23,0,5,22,74,41,37,53,6,76,12,86
5283289656.0,-1,155,23,0,1,59,48,63,44,35,8,46,21,22
5283289655.0,-1,227,22,7,34,32,13,28,51,84,92,106,87,104
5283289654.0,1,186,23,0,14,23,7,54,71,39,51,103,12,93
5283289653.0,-1,187,23,0,31,44,25,86,62,19,49,6,53,74
5283289652.0,-1,155,23,0,17,35,5,1,19,25,93,29,101,8
5283289651.0,1,154,22,7,12,121,58,59,7,14,26,30,1,104
5283289650.0,1,187,22,0,61,14,6,40,1,54,11,93,97,53
5283289649.0,-1,155,22,7,100,126,44,88,13,9,26,75,5,93
5283289648.0,1,171,23,0,114,44,75,20,29,72,7,2,21,95
5283289647.0,1,227,3,7,14,75,74,42,26,101,8,3,56,102
5283289630.0,1,232,3,0,42,105,84,78,10,26,51,32,74,9
5283289629.0,1,152,22,0,101,59,21,121,44,41,35,31,86,56
5283289628.0,-1,145,22,7,70,25,59,84,31,110,80,51,21,35
5283289627.0,1,186,22,0,12,21,35,121,95,112,102,29,73,59
5283289626.0,1,154,22,7,1,42,7,69,9,84,128,28,114,8
5283285278.0,-1,184,22,7,47,59,71,48,35,54,68,10,44,14
5283285277.0,-1,227,3,7,41,74,84,101,99,30,96,94,114,47
5283285276.0,-1,223,22,7,62,126,16,41,64,104,75,84,94,87
5283285274.0,1,236,3,7,1,129,46,37,108,63,14,30,60,54
5283285273.0,-1,187,22,7,34,54,75,128,14,129,82,1,87,22
5283285272.0,1,182,4,0,72,129,91,21,3,56,60,75,88,44
5283285271.0,1,227,3,7,43,37,32,1,84,102,19,21,41,64
5283285270.0,-1,183,22,0,14,61,114,101,53,5,89,26,28,15
5283285269.0,1,154,22,0,51,14,18,48,5,62,9,22,102,87
5283285267.0,-1,172,22,0,21,8,98,100,54,50,40,86,36,114
5283285266.0,1,181,22,7,74,14,95,7,31,71,42,34,30,6
5283285265.0,1,187,22,0,1,5,35,36,105,32,47,40,8,28
5283285264.0,-1,181,23,0,105,23,101,9,21,100,74,99,39,22
5283285245.0,-1,155,23,0,20,101,86,67,32,35,84,34,80,87
5283285241.0,1,181,22,7,99,54,86,34,14,93,47,38,13,128
5283285240.0,1,137,22,7,11,26,47,36,21,28,101,14,8,59
5283285238.0,1,155,18,0,44,27,31,3,11,9,91,64,98,68
